trade_date,index_code,close,volume,advance_count,decline_count,data_source
20250903,KOSDAQ,796.8099975585938,1200,431.0,294.0,yfinance
20250904,KOSDAQ,805.4199829101562,1300,550.0,178.0,yfinance
20250905,KOSDAQ,811.4000244140625,1000,402.0,318.0,yfinance
20250908,KOSDAQ,818.5999755859375,900,479.0,246.0,yfinance
20250909,KOSDAQ,824.8200073242188,1300,491.0,236.0,yfinance
20250910,KOSDAQ,833.0,900,529.0,199.0,yfinance
20250911,KOSDAQ,834.760009765625,1000,408.0,316.0,yfinance
20250912,KOSDAQ,847.0800170898438,1000,487.0,243.0,yfinance
20250915,KOSDAQ,852.6900024414062,900,435.0,299.0,yfinance
20250916,KOSDAQ,851.8400268554688,1000,307.0,420.0,yfinance
20250917,KOSDAQ,845.530029296875,1000,257.0,474.0,yfinance
20250918,KOSDAQ,857.1099853515625,1000,475.0,254.0,yfinance
20250919,KOSDAQ,863.1099853515625,1000,180.0,192.0,yfinance
20250922,KOSDAQ,874.3599853515625,1000,335.0,407.0,yfinance
20250923,KOSDAQ,872.2100219726562,1000,283.0,447.0,yfinance
20250924,KOSDAQ,860.9400024414062,1000,231.0,509.0,yfinance
20250925,KOSDAQ,852.47998046875,900,231.0,503.0,yfinance
20250926,KOSDAQ,835.1900024414062,700,87.0,659.0,yfinance
20250929,KOSDAQ,846.7100219726562,700,523.0,201.0,yfinance
20250930,KOSDAQ,841.989990234375,800,268.0,460.0,yfinance
20251001,KOSDAQ,845.3400268554688,600,362.0,369.0,yfinance
20251002,KOSDAQ,854.25,800,503.0,227.0,yfinance
20251010,KOSDAQ,859.489990234375,800,342.0,404.0,yfinance
20251013,KOSDAQ,860.489990234375,700,287.0,449.0,yfinance
20251014,KOSDAQ,847.9600219726562,1000,223.0,515.0,yfinance
20251015,KOSDAQ,864.719970703125,900,633.0,105.0,yfinance
20251016,KOSDAQ,865.4099731445312,900,365.0,373.0,yfinance
20251017,KOSDAQ,859.5399780273438,900,171.0,573.0,yfinance
20251020,KOSDAQ,875.77001953125,800,540.0,196.0,yfinance
20251021,KOSDAQ,872.5,1100,290.0,431.0,yfinance
20251022,KOSDAQ,879.1500244140625,900,475.0,257.0,yfinance
20251023,KOSDAQ,872.030029296875,1100,207.0,527.0,yfinance
20251024,KOSDAQ,883.0800170898438,1000,442.0,287.0,yfinance
20251027,KOSDAQ,902.7000122070312,1000,508.0,224.0,yfinance
20251028,KOSDAQ,903.2999877929688,800,349.0,384.0,yfinance
20251029,KOSDAQ,901.5900268554688,1000,332.0,403.0,yfinance
20251030,KOSDAQ,890.8599853515625,1200,185.0,554.0,yfinance
20251031,KOSDAQ,900.4199829101562,900,331.0,390.0,yfinance
20251103,KOSDAQ,914.5499877929688,1000,377.0,364.0,yfinance
20251104,KOSDAQ,926.5700073242188,900,357.0,378.0,yfinance
20251105,KOSDAQ,901.8900146484375,1100,117.0,627.0,yfinance
20251106,KOSDAQ,898.1699829101562,981000,418.0,320.0,yfinance
20251107,KOSDAQ,876.8099975585938,1041100,119.0,626.0,yfinance
20251110,KOSDAQ,888.3499755859375,700,637.0,105.0,yfinance
20251111,KOSDAQ,884.27001953125,1000,296.0,440.0,yfinance
20251112,KOSDAQ,906.510009765625,1000,587.0,157.0,yfinance
20251113,KOSDAQ,918.3699951171875,900,407.0,299.0,yfinance
20251114,KOSDAQ,897.9000244140625,800,120.0,622.0,yfinance
20251117,KOSDAQ,902.6699829101562,700,399.0,341.0,yfinance
20251118,KOSDAQ,878.7000122070312,800,76.0,674.0,yfinance
20251119,KOSDAQ,871.3200073242188,700,331.0,411.0,yfinance
20251120,KOSDAQ,891.9400024414062,600,614.0,129.0,yfinance
20251121,KOSDAQ,863.9500122070312,800,110.0,637.0,yfinance
